Timestamp (Elapsed time in seconds),PID,FPS,FPS 1(%) Low,Render Latency(MSec),Average PC Latency(MSec),CPU Utilization(%),GPU1 Utilization(%),GPU1 Temperature(Degrees celsius),GPU1 Frequency(MHz),GPU1 Memory Frequency(MHz),GPU1 Voltage(Milli Volts),GPU1 Fan1 Speed (RPM),GPU1 Fan2 Speed (RPM),GPU2 Utilization(%),GPU2 Temperature(Degrees celsius),GPU2 Frequency(MHz),GPU2 Memory Frequency(MHz),GPU2 Voltage(Milli Volts),GPU2 Fan1 Speed (RPM),GPU2 Fan2 Speed (RPM)
0.058,23316,126.103,70.939,13.261,0,67,82,55,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.57,23316,126.735,70.939,13.384,0,74,82,54,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.081,23316,123.452,75.186,15.378,0,73,83,55,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.593,23316,125.914,76.601,11.511,0,67,78,54,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2.104,23316,139.745,83.396,14.125,0,64,83,55,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2.616,23316,137.904,82.147,15.746,0,63,96,55,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.129,23316,160.473,98.841,16.421,0,55,95,56,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.64,23316,155.036,90.941,12.082,0,63,86,56,2865,8451,1.07,902,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4.151,23316,139.904,89.821,13.732,0,64,82,55,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4.662,23316,134.708,86.292,13.665,0,65,83,55,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5.171,23316,132.447,86.693,12.921,0,64,79,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5.681,23316,131.606,79.121,13.89,0,65,88,55,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.19,23316,137.126,83.303,13.932,0,62,82,55,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.701,23316,130.047,78.821,14.375,0,66,75,55,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.211,23316,132.706,78.821,14.196,0,64,80,55,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.717,23316,133.055,86.179,13.767,0,65,84,55,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.222,23316,137.048,89.082,15.757,0,63,84,56,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.727,23316,132.827,87.806,12.62,0,66,84,56,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9.234,23316,132.231,86.662,15.314,0,66,80,55,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9.741,23316,127.59,78.126,12.601,0,70,83,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10.248,23316,127.8,78.126,11.916,0,65,83,55,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10.757,23316,127.938,82.914,14.897,0,66,80,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11.264,23316,123.37,76.477,14.276,0,75,76,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
